b'car' at 0.9968523979187012, (167.2576904296875, 507.8285827636719, 91.92999267578125, 66.18794250488281)
b'car' at 0.9963535666465759, (557.956787109375, 602.6409912109375, 110.34410095214844, 74.20162200927734)
b'car' at 0.9960668683052063, (227.4539031982422, 467.93365478515625, 67.79678344726562, 54.408687591552734)
b'car' at 0.9942633509635925, (465.6200866699219, 410.14459228515625, 56.49265670776367, 54.49198913574219)
b'car' at 0.993755578994751, (694.043701171875, 366.17840576171875, 49.24665451049805, 37.83871841430664)
b'car' at 0.9914800524711609, (563.5083618164062, 252.9202423095703, 39.785194396972656, 33.55535888671875)
b'car' at 0.9889567494392395, (229.8343048095703, 418.8211975097656, 69.98888397216797, 51.4425048828125)
b'car' at 0.9874136447906494, (75.38251495361328, 480.1701965332031, 74.04833221435547, 59.499267578125)
b'car' at 0.9863926768302917, (592.7891235351562, 551.7607421875, 91.25672149658203, 78.56733703613281)
b'car' at 0.9863107204437256, (48.223670959472656, 342.6056823730469, 54.060340881347656, 38.18463134765625)
b'car' at 0.9861720204353333, (421.5574645996094, 551.3338623046875, 109.24075317382812, 82.45504760742188)
b'car' at 0.9856615662574768, (509.5324401855469, 384.9510192871094, 53.03114700317383, 46.20431900024414)
b'car' at 0.9853891134262085, (160.75279235839844, 448.68218994140625, 69.0735855102539, 53.25604248046875)
b'car' at 0.9852903485298157, (646.9800415039062, 400.4544677734375, 62.74821853637695, 48.1236572265625)
b'car' at 0.9808835387229919, (714.9807739257812, 331.66534423828125, 50.42317581176758, 40.768619537353516)
b'car' at 0.9808080792427063, (564.6184692382812, 338.0792236328125, 43.613590240478516, 41.91984176635742)
b'car' at 0.9802617430686951, (334.85394287109375, 608.9380493164062, 122.33000946044922, 46.21266555786133)
b'car' at 0.9789911508560181, (1061.6392822265625, 318.02569580078125, 46.209163665771484, 43.1300048828125)
b'car' at 0.9785386323928833, (736.2124633789062, 622.7449340820312, 115.68209075927734, 53.432315826416016)
b'car' at 0.9714717864990234, (316.90777587890625, 426.5704040527344, 55.57856750488281, 56.3660888671875)
b'car' at 0.970941424369812, (598.6371459960938, 298.50286865234375, 44.648746490478516, 39.61725997924805)
b'car' at 0.9682844281196594, (629.9666137695312, 259.0701599121094, 41.834964752197266, 39.36170959472656)
b'car' at 0.9675756096839905, (485.82666015625, 322.8359069824219, 50.20994186401367, 42.132118225097656)
b'car' at 0.965611457824707, (763.7862548828125, 376.2797546386719, 55.71100616455078, 43.874046325683594)
b'car' at 0.9649190306663513, (67.95921325683594, 290.6898193359375, 43.698143005371094, 39.89945983886719)
b'car' at 0.9578971266746521, (293.3988037109375, 504.95458984375, 83.12411499023438, 77.86993408203125)
b'car' at 0.9534064531326294, (808.264892578125, 317.38958740234375, 45.90455627441406, 43.42417907714844)
b'car' at 0.9529346823692322, (1055.2108154296875, 627.6446533203125, 117.33546447753906, 76.84693908691406)
b'car' at 0.9500831961631775, (500.6161804199219, 49.138545989990234, 32.0802001953125, 28.639739990234375)
b'car' at 0.9412707686424255, (124.34239196777344, 308.60638427734375, 45.524513244628906, 46.91136169433594)
b'car' at 0.939651370048523, (33.5431022644043, 584.9480590820312, 68.44612884521484, 77.3468246459961)
b'car' at 0.9380506873130798, (468.9654541015625, 260.0921630859375, 47.67763900756836, 36.687843322753906)
b'car' at 0.9379778504371643, (982.8914184570312, 299.1498718261719, 46.27597427368164, 35.89354705810547)
b'car' at 0.9370694756507874, (986.9495849609375, 214.27882385253906, 35.60557556152344, 18.86562156677246)
b'car' at 0.9366132616996765, (596.116943359375, 432.7347106933594, 72.44635772705078, 53.42415237426758)
b'car' at 0.9360403418540955, (272.1666259765625, 388.7576599121094, 64.04004669189453, 55.072837829589844)
b'bus' at 0.9274562001228333, (759.4237060546875, 516.4630126953125, 137.40707397460938, 166.1102752685547)
b'car' at 0.9179372787475586, (119.88018798828125, 594.7345581054688, 91.81463623046875, 53.78571319580078)
b'person' at 0.912794828414917, (202.82339477539062, 128.98187255859375, 30.651195526123047, 88.51517486572266)
b'car' at 0.9056159257888794, (825.0838623046875, 278.5842590332031, 40.01346969604492, 36.23661422729492)
b'car' at 0.9046209454536438, (1057.552978515625, 284.5131530761719, 42.940792083740234, 36.13041305541992)
b'car' at 0.8891260027885437, (18.125940322875977, 522.5574340820312, 34.52261734008789, 60.2100830078125)
b'car' at 0.8842272758483887, (921.565673828125, 227.13412475585938, 44.98433303833008, 29.78082275390625)
b'car' at 0.8824043869972229, (532.3741455078125, 41.94355010986328, 31.616939544677734, 20.06564712524414)
b'car' at 0.859205424785614, (868.4447021484375, 361.6435241699219, 50.00448989868164, 35.905906677246094)
b'car' at 0.8557034730911255, (458.6549987792969, 356.985595703125, 37.13325500488281, 46.25384521484375)
b'car' at 0.8556336164474487, (1052.29248046875, 249.9552001953125, 46.38384246826172, 39.78811264038086)
b'car' at 0.8549396991729736, (1051.9622802734375, 400.26446533203125, 58.755767822265625, 41.9373893737793)
b'car' at 0.8513148427009583, (891.748046875, 340.1273498535156, 47.99069595336914, 48.649452209472656)
b'car' at 0.8476361632347107, (452.6124572753906, 284.960205078125, 38.898963928222656, 36.6148681640625)
b'car' at 0.8351988196372986, (850.8153076171875, 407.9114990234375, 63.03181076049805, 58.91694641113281)
b'car' at 0.8107808232307434, (727.8861694335938, 96.45890808105469, 189.01902770996094, 56.64166259765625)
b'car' at 0.8048122525215149, (872.429443359375, 387.3679504394531, 50.16998291015625, 43.02256774902344)
b'car' at 0.8029505014419556, (838.6441040039062, 245.8733367919922, 39.61586380004883, 34.28703308105469)
